region,transect,plot,sample,site,soil_type,Na,Mg,Al,Si,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
tb,tba,tba9,vc_tb_a9_2,NWFA9,MuA,1000.57317,11132.25346,3.205635672,188508.0225,7358.36685,12390.49387,9914.44094,965.6945398,4670.73901,116.7141346,66.24872199,962.918494,29418.91297,24.22283497,53.04329654,123.2582969,296.3021885
tb,tba,tba9,vc_tb_a9_3,NWFA9,MuA,1176.12099,9979.98939,3.476807687,207165.9993,7573.07918,13004.05672,11312.94996,1372.13154,5551.60315,116.7437473,68.23167974,1204.347826,30823.04292,25.04606215,61.91508399,154.7953165,294.4279918
tb,tbb,tbb1,vc_tb_b1_1,NWFB1,CCD,2295.3431,9596.00166,3.013270894,156988.7977,7698.7403,14378.15353,12182.56725,1181.047978,4947.53713,160.6480751,59.33366157,1791.030145,43678.86546,34.35145808,57.02318119,132.1783922,418.6210223
tb,tbb,tbb1,vc_tb_b1_2,NWFB1,CCD,1629.38436,10526.69663,2.770657931,166656.604,7527.42504,13220.07043,10760.55414,921.1809305,4434.6401,105.2495994,58.52480686,1010.965819,31673.64265,27.31311877,42.44523386,80.82035653,332.7645604
tb,tbb,tbb1,vc_tb_b1_3,NWFB1,CCD,2421.45262,9610.96678,2.625054024,160949.8199,7501.74028,13103.18462,11069.79932,1304.586391,3853.18542,69.53300439,60.65801487,1043.850221,33196.40537,27.93986853,51.06601299,76.7202636,357.6102862
tb,tbb,tbb3,vc_tb_b3_1,NWFB3,CCD,2728.52318,8956.22783,3.102837943,164044.7818,8549.15933,13498.30402,15834.84777,1121.712971,5088.11077,181.6215485,65.31935655,1957.516971,49267.34847,35.27785492,73.84531414,253.6028245,444.0658457
tb,tbb,tbb3,vc_tb_b3_2,NWFB3,CCD,1732.5207,10396.98617,2.887826871,166577.9228,8359.09609,12564.35377,13982.99492,1133.756502,4317.62431,115.2098638,66.23570228,1225.032335,38160.37073,29.0524497,59.21520433,175.0113976,364.5688179
tb,tbb,tbb3,vc_tb_b3_3,NWFB3,CCD,1564.01684,10567.64484,2.876472697,168065.0087,8289.8032,13007.0175,13564.04354,1124.272257,4261.97452,142.4259591,64.30095302,1248.128564,39802.43639,30.72046,54.15910994,169.4830204,374.2215711
tb,tbb,tbb5,vc_tb_b5_1,NWFB5,CHRD,435.24809,14649.17954,2.159812512,137849.7588,7370.33922,10573.90953,6145.19129,634.9003704,3039.97641,36.29809807,49.6542328,261.8857139,22464.30958,22.46275487,21.60516702,38.13459964,266.0504928
tb,tbb,tbb5,vc_tb_b5_2,NWFB5,CHRD,1212.07637,11858.47009,2.879898575,158077.1497,7505.99129,13204.54036,7991.03351,1083.991655,4243.81665,84.23434956,59.1145404,652.9884601,28998.82277,25.05138786,40.24851774,100.1270301,327.5704155
tb,tbb,tbb5,vc_tb_b5_3,NWFB5,CHRD,1319.22363,10796.32491,3.058047343,182240.9134,7485.70502,12846.70487,8458.3065,1030.337501,3888.15008,67.16134385,67.42766945,607.7765987,27556.83337,22.38523837,38.17415189,134.9590312,315.6055785
tb,tbb,tbb7,vc_tb_b7_1,NWFB7,CHRD,1901.88792,9820.22839,2.866320942,178541.9073,7534.48973,11768.15701,9078.20078,685.9494305,4009.59008,74.16464713,60.1284133,491.3816867,22226.00502,20.05028247,34.70906943,89.0152587,267.6779669
tb,tbb,tbb7,vc_tb_b7_2,NWFB7,CHRD,1889.0844,9353.01958,3.291576601,193591.9425,7622.84077,12795.02512,10066.68551,725.7940231,4342.26919,89.73770442,69.78956766,702.4644371,25636.86329,20.47160697,51.83128644,141.4370523,268.1993609
tb,tbb,tbb7,vc_tb_b7_3,NWFB7,CHRD,1780.2605,9883.74582,3.122271234,185113.8139,7452.679,12097.31976,8604.63387,793.7227354,4083.55836,89.68715013,62.42410278,501.7752117,24836.43268,20.86703069,38.85773414,95.34929661,258.3054122
tb,tbb,tbb9,vc_tb_b9_1,NWFB9,CHRD,660.77865,12613.69533,2.570808357,172825.427,7807.97806,11476.79488,7737.87376,827.3941647,3686.83668,100.0136343,69.85119482,414.2299599,27267.16917,21.61088163,44.7377518,137.8262857,267.9146193
tb,tbb,tbb9,vc_tb_b9_2,NWFB9,CHRD,1226.80758,10316.13037,3.216726379,198984.2149,7895.36135,12734.78392,8270.26958,1115.078143,5005.64589,132.6752895,81.17623365,525.3541093,30328.72149,22.01545725,67.03637911,172.3608575,280.7234566
tb,tbb,tbb9,vc_tb_b9_3,NWFB9,CHRD,1535.44152,10658.14181,2.785363224,175216.698,7846.60307,12069.96863,8044.63371,929.9489577,4445.24913,127.4198042,75.87819922,582.3031004,31910.9375,23.97671203,59.8315759,165.8784689,297.3067278
tb,tbc,tbc1,vc_tb_c1_1,NWFC1,CHRD,1123.12895,11428.12119,2.525132623,175279.2202,7657.31792,11905.31769,7638.48433,810.126901,3910.65161,73.56537018,67.55442339,362.373601,24836.99562,20.81736668,30.6849976,120.155863,238.9938253
tb,tbc,tbc1,vc_tb_c1_2,NWFC1,CHRD,1064.4795,11335.59844,2.764355706,180983.4625,7676.98624,11772.35257,9427.07962,784.5775749,3691.87455,66.14445448,68.91018772,364.8151352,22286.78905,20.70046704,23.54430998,117.1961268,224.4098535
tb,tbc,tbc1,vc_tb_c1_3,NWFC1,CHRD,1042.25139,11396.11883,2.903791803,179994.5116,7690.56858,12547.18506,10859.47266,821.8360076,3414.84492,102.9007285,69.40803083,479.4442278,24616.68151,19.95576669,34.52176365,139.3410164,238.5106745
tb,tbc,tbc3,vc_tb_c3_1,NWFC3,CHRD,1984.16376,8911.05295,3.855242284,203516.8474,7338.09077,15876.05886,12065.03196,1500.758285,5424.0723,103.2753881,72.76660949,1134.879399,34594.09544,26.29666374,61.98003246,148.4404415,285.3645443
tb,tbc,tbc3,vc_tb_c3_2,NWFC3,CHRD,2160.82668,8870.65775,3.811461219,195464.517,7420.31039,16696.01274,9918.17612,1241.379197,4997.43076,192.1564778,65.17803978,1324.246062,39797.74081,30.24192005,69.6196478,168.2283108,303.1394635
tb,tbc,tbc3,vc_tb_c3_3,NWFC3,CHRD,1675.38069,9857.32087,3.35969228,187914.9184,7410.24782,14910.34594,10153.26142,1387.773213,5165.35552,110.4466061,64.25906207,900.1828541,32993.11384,25.7487316,47.41591094,106.4233193,273.9854053
tb,tbc,tbc5,vc_tb_c5_1,NWFC5,CHRD,2679.06187,8365.5119,3.552120722,206045.2311,7973.7497,13220.42171,9599.84053,655.303579,4318.70224,183.2707928,83.47654918,501.186549,32279.47933,22.76341845,72.92618513,180.0851675,250.8371612
tb,tbc,tbc5,vc_tb_c5_2,NWFC5,CHRD,1707.51581,9658.91157,3.502254213,192811.8319,8003.3555,13745.17218,10059.75675,1145.261123,5137.07777,200.7612369,83.00209386,670.7788798,37252.68324,25.79552271,65.66102577,200.6238204,273.6408173
tb,tbc,tbc5,vc_tb_c5_3,NWFC5,CHRD,981.64645,12414.17142,2.220467644,157664.0735,7589.17473,10200.82611,7069.17016,879.4848753,3343.40072,39.85522467,60.86375245,198.2044626,22765.42177,19.99893601,20.29972936,63.20475471,213.4892757
tb,tbc,tbc7,vc_tb_c7_1,NWFC7,CHRD,690.76374,12723.0798,2.961842412,168005.92,8274.29433,10198.45531,4670.09616,864.756843,3746.91116,144.4846739,84.41272153,271.7319014,30749.6701,22.67827599,37.21866643,291.468725,228.3095481
tb,tbc,tbc7,vc_tb_c7_2,NWFC7,CHRD,2098.95453,8520.4399,3.72414045,214990.8665,7957.44523,12598.02169,5736.33805,1147.577152,5042.70366,191.8580308,91.26544075,496.8483883,36612.15615,24.11528795,76.64229912,308.1465215,226.0888023
tb,tbc,tbc7,vc_tb_c7_3,NWFC7,CHRD,882.13138,11845.52986,3.039226612,179147.0367,7906.55095,10888.09264,3615.9326,923.3075594,4197.56297,133.061245,78.47432074,243.5683035,32052.22177,24.8511924,39.02376731,189.4821699,214.9536917
tb,tbc,tbc9,vc_tb_c9_1,NWFC9,CHRD,972.9071,10861.5811,3.142966071,197211.6521,8854.73398,12332.98365,6628.55368,895.14703,3707.02386,176.9336831,85.32374771,415.8801339,32424.46899,22.79445354,71.51507098,241.364216,261.4425588
tb,tbc,tbc9,vc_tb_c9_2,NWFC9,CHRD,1369.44334,10382.0892,2.754457184,191784.1164,8367.79257,11276.86563,8001.47746,733.3054228,3176.93383,131.4455704,85.45955768,281.6493481,26486.03186,20.23644845,46.11841879,134.7342561,255.7402704
tb,tbc,tba9,vc_tb_c9_3,NWFC9,CHRD,736.27328,13589.47119,2.461041656,141041.7424,9011.67469,10481.96244,4376.43524,1027.665648,4319.80052,223.3771668,86.95599206,436.9567523,40909.17856,27.54611931,88.5027139,322.3990605,335.7977741
